"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_KRAS_SIGNALING_UP",0.000136780194227876,0.00683900971139379,0.488025108623381,1.75911928282489,0,137,"RABGAP1L;GALNT3;TNNT2;ETS1;DUSP6;TOR1AIP2;F13A1;USH1C;SPARCL1;SCN1B;SCG3;G0S2;SDCCAG8;TMEM100;ANO1;AMMECR1;SCG5;ALDH1A3;RBP4;PLAUR;ETV1;TMEM158;SATB1;ABCB1;RGS16;ENG;DOCK2;MMP9;EVI5;ADGRA2;GPNMB;ADAM17;GLRX;ACE;ETV4;F2RL1;TMEM176A;ZNF277;IKZF1;GABRA3;HDAC9;MPZL2;ETV5;MYCN;TNFRSF1B;USP12;AVL9;TSPAN7;MAP3K1"
"HALLMARK_E2F_TARGETS",0.000449842555105713,0.00731207955542556,-0.38460729366795,-1.62413130808996,0,198,"UBE2T;CDK4;SNRPB;RANBP1;KIF22;TK1;NAA38;CDC20;RPA2;PA2G4;POLD2;RRM2;PAN2;RBBP7;RFC2;POLD3;JPT1;ILF3;RFC3;DONSON;TRIP13;UNG;MCM2;DNMT1;POP7;CDKN1B;XRCC6;MCM7;PHF5A;LIG1;POLA2;TACC3;CENPM;MLH1;DUT;CCNB2;MCM4;POLE4;HMGA1;TUBB;DCLRE1B;MCM5;SSRP1;ATAD2;E2F8;PRPS1;RNASEH2A;ORC6;PLK1;POLD1;MCM3;HMGB3;MCM6;ASF1B;ZW10;DCTPP1;MYBL2;ASF1A;LMNB1;UBR7;TRA2B;PCNA"
"HALLMARK_MYC_TARGETS_V1",0.00045045045045045,0.00731207955542556,-0.512005738606532,-2.16210035680694,0,199,"TRIM28;CDK4;RPS2;RANBP1;ODC1;COX5A;CCNA2;PSMA7;CDC20;PRPF31;TXNL4A;PA2G4;POLD2;EIF4H;C1QBP;CCT7;CYC1;ERH;AP3S1;EIF4A1;MCM2;EIF1AX;HNRNPR;PSMD8;YWHAE;XRCC6;RNPS1;PHB2;EXOSC7;NDUFAB1;YWHAQ;SNRPA;SF3A1;MCM7;EIF4G2;AIMP2;SRM;SNRPA1;DUT;MCM4;GLO1;MRPL23;LSM7;PSMD3;MCM5;VDAC3;LSM2;PRDX3;SRSF7;PTGES3;KPNB1;EIF3B;SRSF3;RPL18;ETF1;MCM6;EIF2S2;PRPS2;CNBP;SET;TUFM;UBE2L3;EEF1B2;TRA2B;PCNA;RRP9;CSTF2;CCT4;U2AF1;RUVBL2;HNRNPA3;PSMC6;NOLC1;NHP2;SRSF1;MAD2L1;HSP90AB1;PHB1;RPL6;PPM1G;PSMA4;XPOT;PRDX4;TCP1;SLC25A3;PSMD7;G3BP1;SRSF2;NCBP1;SF3B3;KPNA2;RAD23B;POLE3;CUL1;HNRNPA1"
"HALLMARK_MYC_TARGETS_V2",0.000584966364434045,0.00731207955542556,-0.546845626859554,-1.93317959037009,1,58,"CDK4;FARSA;PA2G4;NIP7;GRWD1;UNG;SLC19A1;PES1;WDR74;TMEM97;AIMP2;SRM;MCM4;MCM5;SLC29A2;PLK1;SUPV3L1;DCTPP1;PPAN;RRP9;HK2;NOLC1;PHB1;EXOSC5;WDR43;SORD;MYBBP1A"
"HALLMARK_DNA_REPAIR",0.000773395204949729,0.00773395204949729,-0.415790967816851,-1.69467401170088,1,147,"POLR2E;ADRM1;ALYREF;RPA2;POLR2C;RFC2;POLD3;NELFE;GTF3C5;RFC3;POLR2J;ITPA;GTF2H3;GPX4;POLR3GL;ZWINT;BRF2;LIG1;POLA2;CETN2;TAF12;ERCC2;ERCC1;NELFCD;NT5C;DUT;UMPS;DDB1;POLE4;ELOA;BCAM;TAF6;NME4;USP11;SSRP1;SUPT4H1;POM121;ARL6IP1;RAD51;POLR1H;DGCR8;TARBP2;BOLA2;POLD1;FEN1;CANT1;POLR2K;ELL;RALA;SRSF6;PCNA;TAF10;SF3A3;MPG;POLA1;MRPL40;SDCBP;POLR2A;POLR2F;TSG101;GMPR2;RAE1"
"HALLMARK_KRAS_SIGNALING_DN",0.000988421349901158,0.00823684458250965,0.474806133998022,1.65763221380028,6,106,"SELENOP;HTR1D;RYR2;HSD11B2;NR4A2;TEX15;KLK7;KLHDC8A;TENM2;SKIL;CAMK1D;LFNG;SOX10;KCNMB1;COQ8A;GRID2;BMPR1B;PDE6B;MFSD6;KLK8;TCF7L1;CELSR2;ADRA2C;BTG2;CCNA1;CALCB;CLSTN3;FGFR3;PLAG1;EFHD1"
"HALLMARK_P53_PATHWAY",0.00130174433741213,0.00929817383865809,0.413867621220582,1.54274302725412,9,181,"RPS27L;TP53;PHLDA3;CCNG1;CDKN1A;IER5;SPHK1;DRAM1;ZMAT3;DDB2;STOM;IRAK1;CD82;HSPA4L;SLC19A2;APP;H1-2;PROCR;FAS;ST14;SESN1;PLXNB2;NHLH2;COQ8A;PTPN14;KLK8;BTG2;RGS16;ABHD4;ABAT;AEN;IER3;F2R;IFI30;RALGDS;TM7SF3;VAMP8;GLS2;DGKA"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00225225225225225,0.0140765765765766,-0.347841304976623,-1.46886597726222,4,199,"ACADSB;ATP6V0C;COX11;COX5A;ISCU;SLC25A11;PMPCA;MRPS12;ATP5F1D;CYC1;MRPL11;MRPL15;MRPS15;TIMM50;IDH3B;CYB5R3;GPX4;PHB2;ACADM;NDUFAB1;ACAA1;HCCS;NDUFS3;DLAT;NDUFS7;SLC25A20;MRPL34;NDUFA3;NDUFA6;BCKDHA;ATP6AP1;ECH1;NDUFB7;VDAC3;NDUFS8;ECHS1;PRDX3;MRPS11;MRPS30;HSPA9;ATP5ME;VDAC2;FXN;SUPV3L1;UQCRFS1;RHOT2;NDUFA9;MTX2;ATP5F1B;TOMM22;MRPS22;ATP5MF;OGDH;TIMM8B;NDUFB2;IDH3G;COX10;CS;ATP5MC3;FDX1;SUCLG1;ATP5F1C;ATP6V1H;HSD17B10;ATP6V0E1;IDH1"
"HALLMARK_UV_RESPONSE_DN",0.00285520054384772,0.0158622252435985,0.425062280232261,1.53748870917089,20,140,"LAMC1;COL1A1;COL5A2;PRKCA;ERBB2;CDC42BPA;GJA1;BDNF;COL1A2;ATRX;ATP2B4;CDON;TGFBR3;KIT;COL11A1;RBPMS;PDGFRB;MET;PRKAR2B;DDAH1;PRKCE;ATP2B1;RND3;HAS2;ABCC1;AKT3;SYNE1;BMPR1A;PLCB4;VLDLR;MMP16;ANXA2;PHF3;DLC1;MAGI2;ADD3;RGS4;PTPRM;MTA1;FBLN5;FYN;PLPP3;ARHGEF9;EFEMP1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00366860287373892,0.0183430143686946,-0.457039805256097,-1.6548675486599,11,67,"ATF5;ACAT2;TM7SF2;ANXA5;MVK;MVD;HMGCS1;CTNNB1;SQLE;ACSS2;LSS;FASN;TMEM97;PCYT2;IDI1;FADS2;HMGCR;EBP;NSDHL;ECH1;FDFT1;TNFRSF12A;CYP51A1;STARD4"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00715959385576673,0.0325436084353033,0.388512655571853,1.4482292396196,54,181,"CCND1;RAB17;CLDN7;ADCY1;FLNB;MLPH;TFF3;TBC1D30;SLC19A2;ELF3;ANXA9;CA12;KCNK15;GJA1;MUC1;PODXL;KAZN;STC2;SIAH2;AFF1;RETREG1;OPN3;SYT12;OLFML3;ARL3;CELSR2;SLC1A1;RARA;ABAT;CXCL12;UGCG;TJP3;DLC1;CD44;MINDY1;AR;ABLIM1;TIAM1;OLFM1;ADD3;WWC1;SLC37A1;ELOVL2;SCNN1A;HSPB8;SLC2A1;ZNF185;IGFBP4;SLC16A1;AKAP1;TOB1;SYNGR1;MAST4;MYC;CBFA2T3;OVOL2;TGM2;LAD1;CELSR1;TPBG;NAV2;TTC39A;XBP1;AQP3;SLC24A3;DEPTOR;TUBB2B;NHERF1;NCOR2;P2RY2;SLC26A2;ISG20L2"
