"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"HALLMARK_MYC_TARGETS_V2",0.000693962526023595,0.0346981263011797,0.53694041015632,1.80975014202418,2,58,"RCL1;MYC;DCTPP1;SLC19A1;PES1;MYBBP1A;CBX3;WDR43;SUPV3L1;RRP9;NPM1;PLK1;DUSP2;CDK4;EXOSC5;NOP2;NIP7;PA2G4;FARSA;IPO4;TBRG4"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00267952840300107,0.0669882100750268,0.385495959896694,1.534209032648,9,165,"CCN1;FOS;TUBB2A;NR4A1;GADD45B;IER2;SOCS3;MYC;EGR1;IL6ST;JUN;PLK2;EGR2;LITAF;SERPINB8;TNFAIP3;SIK1;PER1;ETS2;PTGER4;PPP1R15A;RHOB;LDLR;DUSP2;KLF6;NFAT5;SGK1;B4GALT5;B4GALT1;KLF10;PDE4B;PMEPA1;GEM;IER3;SERPINE1;GFPT2;TRIP10;NFKB2;GCH1;TNFSF9"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.00500751126690035,0.0834585211150059,0.41230284144678,1.552838979662,19,111,"EIF4A3;TUBB2A;SLC7A5;ARFGAP1;ATP6V0D1;ERN1;EDEM1;SPCS3;EDC4;RRP9;PSAT1;EIF4A2;NPM1;KHSRP;NOP14;EIF4EBP1;EIF4G1;EXOSC5;IMP3;CHAC1;CALR;XPOT;EXOSC10;EEF2;DCTN1;IARS1;BAG3;CNOT4;CEBPB;HERPUD1;YIF1A;EIF4A1;NFYB;DKC1;ASNS;SLC1A4;EXOSC9"
"HALLMARK_UV_RESPONSE_UP",0.00857142857142857,0.107142857142857,0.370325935552882,1.45137415452821,32,147,"FOS;HTR7;NR4A1;CCK;GPX3;CYP1A1;IL6ST;STIP1;EPHX1;GGH;CDKN1C;NPTX2;NAT1;MMP14;HMOX1;CLTB;HSPA2;RHOB;PDAP1;PRKCD;TFRC;SPR;POLG2;MARK2;DDX21;RPN1;CYB5B;GLS;PPAT;GCH1;SLC25A4;CTSV;PRKACA;GRINA;AP2S1;ACAA1;ASNS;ARRB2;IRF1;DNAJB1;ATP6V1C1;RAB27A;BSG;HSPA13;TAP1;GRPEL1;YKT6"
"HALLMARK_APOPTOSIS",0.0296086508753862,0.296086508753862,0.351839210302367,1.35512109220899,114,131,"GADD45B;CDC25B;DIABLO;TNFRSF12A;PMAIP1;ANXA1;NEDD9;GPX3;JUN;BCL2L1;VDAC2;FDXR;CASP7;CTH;NEFH;CAV1;HMOX1;PPP2R5B;RHOB;DNM1L;LMNA;XIAP;GSN;LEF1;TGFB2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0377867746288799,0.314889788573999,0.328181788527042,1.30831934135252,139,168,"CCN2;CCN1;VIM;BASP1;GADD45B;TFPI2;TNFRSF12A;APLP1;JUN;THBS1;CTHRC1;MYL9;CAPG;IL32;SNAI2;CXCL12;TNFAIP3;CDH2;LOXL1;MMP14;ITGB1;PMP22;RHOB;PDLIM4;SERPINH1;MEST;NID2;TAGLN;COL6A3;CD59;PCOLCE;FN1;COL5A1;PMEPA1;GEM;P3H1;SLIT2;SERPINE1;LAMA2;CRLF1;FLNA;EFEMP2;LOXL2;CALU;ITGB5;PLOD3"
"HALLMARK_ANGIOGENESIS",0.0577308322709889,0.396015549076774,-0.519978487594427,-1.45516729625697,316,27,"FSTL1;LRPAP1;COL5A2;PDGFA;ITGAV;JAG1;VEGFA"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0675712347354138,0.396015549076774,0.307456894592575,1.23780701275667,248,181,"PLAAT3;FOS;MYC;SLC7A5;RAB17;SYNGR1;PMAIP1;SOX3;TUBB2B;RAB31;IL6ST;ELOVL2;SNX24;SYBU;CXCL12;PTGES;MYBBP1A;JAK2;SVIL;KCNK5;SFN;SLC7A2;MPPED2;LAD1;PEX11A;AMFR;MAST4;CISH;CALB2;NXT1;FASN;B4GALT1;ESRP2;KLF10"
"HALLMARK_MYOGENESIS",0.0779014308426073,0.396015549076774,0.313033294727081,1.23651919952351,293,156,"COX7A1;GADD45B;CNN3;TNNC2;HSPB2;CKB;GPX3;SH3BGR;MYBPC3;FOXO4;MYL1;SVIL;CASQ1;TEAD4;KIFC3;CRYAB;TNNI1;ACHE;FKBP1B;CAMK2B;ITGB1;EIF4A2;SMTN;ACTC1;TAGLN;AEBP1;COL6A3;MAPK12;GSN;TSC2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0906574394463668,0.396015549076774,0.398192434969501,1.31918643608128,392,53,"SOCS3;TNFRSF12A;PIM1;IL6ST;JUN;SOCS1;LEPR;OSMR;HMOX1;PDGFC"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0956498243717914,0.396015549076774,0.302566911409306,1.20805874998657,353,170,"PLAAT3;FOS;SLC7A5;CKB;TFPI2;SOX3;CDC20;RAB31;IL6ST;CXCL12;PTGES;PTGER3;JAK2;CAV1;FABP5;KCNK5;TH;SFN;CDC6;AMFR;DUSP2;CACNA2D2;GINS2;MEST;STIL;SGK1;CISH;NXT1;SLC29A1;FDFT1;XRCC3;NRIP1;GALE;LSR;MAPT;BAG1;ALDH3A2;MICB;NAB2;ZFP36;EMP2"
"HALLMARK_GLYCOLYSIS",0.0997164461247637,0.396015549076774,-0.31429355631302,-1.2109627932815,632,185,"GUSB;PAM;COG2;SRD5A3;NANP;TFF3;CYB5A;LDHA;B3GAT1;P4HA1;TGFBI;DSC2;FUT8;HS6ST2;ANKZF1;ENO2;MDH1;ABCB6;B3GALT6;FAM162A;PGK1;B4GALT4;SPAG4;HAX1;IL13RA1;GLRX;DEPDC1;NDUFV3;PYGL;VEGFA;ME1;ELF3;SLC25A13;B3GAT3;MED24;DPYSL4;PMM2;ZNF292;EFNA3;ALDH9A1;PPP2CB"
"HALLMARK_HYPOXIA",0.113161465400271,0.396015549076774,0.293828110475693,1.18293816820667,416,181,"CCN2;CCN1;FOS;ADM;HS3ST1;MT2A;PIM1;JUN;MT1E;TPD52;S100A4;TNFAIP3;CDKN1C;CAV1;JMJD6;HMOX1;PPP1R15A;GPC4;PDGFB;SDC2;KLF6;LDHC;CITED2;CAVIN1;ANXA2;COL5A1;VLDLR;IER3;KLF7;SERPINE1;PPP1R3C"
